semester,subject,module,course_outcome,question_text
S1,Linear Algebra,Module 1,"Solve systems of linear equations, diagonalize matrices and characterise quadratic forms","A is a real matrix of order 3x3 and X = [x, y, z]^T. What can be said about the solution of AX = 0 if rank(A) = 1, 2, or 3?"
S1,Linear Algebra,Module 1,"Solve systems of linear equations, diagonalize matrices and characterise quadratic forms","Given A = [[3,0,2],[0,2,0],[-2,0,0]], find an orthogonal matrix P that diagonalizes A."
S1,Linear Algebra,Module 1,"Solve systems of linear equations, diagonalize matrices and characterise quadratic forms","Find the type of conic section represented by the quadratic form 17x1^2 - 30x1x2 + 17x2^2 = 128."
S1,Linear Algebra,Module 1,"Solve systems of linear equations, diagonalize matrices and characterise quadratic forms","The matrix A = [[-2,2,-3],[2,1,-6],[-1,-2,0]] has eigenvalue 5 with corresponding eigenvector X = [1,2,-1]^T. Find A^5X."
S1,Linear Algebra,Module 2,"Compute the partial and total derivatives and maxima and minima of multivariable functions","Find the slope of the surface z = x^2 y + 5y^3 in the x-direction at the point (1, -2)."
S1,Linear Algebra,Module 2,"Compute the partial and total derivatives and maxima and minima of multivariable functions","Given w = xy + z, use chain rule to find the instantaneous rate of change of w at each point along the curve x = cos t, y = sin t, z = t."
S1,Linear Algebra,Module 2,"Compute the partial and total derivatives and maxima and minima of multivariable functions","Determine the dimensions of a rectangular box open at the top, having volume 32 cubic ft and requiring the least amount of material for its construction."
S1,Linear Algebra,Module 3,"Compute multiple integrals and apply them to find areas and volumes of geometrical shapes, mass and centre of gravity of plane laminas","Evaluate ∬ (x + 2y) dA where D is the region bounded by the parabolas y = 2x^2 and y = 1 + x^2."
S1,Linear Algebra,Module 3,"Compute multiple integrals and apply them to find areas and volumes of geometrical shapes, mass and centre of gravity of plane laminas","Explain how to find the volume under the surface z = f(x, y) over a region D in the xy-plane using (i) double integral (ii) triple integral."
S1,Linear Algebra,Module 3,"Compute multiple integrals and apply them to find areas and volumes of geometrical shapes, mass and centre of gravity of plane laminas","Find the mass and centre of gravity of a triangular lamina with vertices (0,0), (2,1), (0,3) if density function is f(x, y) = x + y."
S1,Linear Algebra,Module 3,"Compute multiple integrals and apply them to find areas and volumes of geometrical shapes, mass and centre of gravity of plane laminas","Use spherical coordinates to evaluate ∭ (x^2 + y^2 + z^2)^3 dV where B is the unit ball defined by x^2 + y^2 + z^2 ≤ 1."
S1,Linear Algebra,Module 4,"Perform various tests to determine whether a given series is convergent, absolutely convergent or conditionally convergent","What is the difference between a sequence and a series? When do you say that they are convergent or divergent?"
S1,Linear Algebra,Module 4,"Perform various tests to determine whether a given series is convergent, absolutely convergent or conditionally convergent","Determine whether the series ∑ (5 / (2n^2 + 4n + 3)) from n = 1 to ∞ converges or diverges."
S1,Linear Algebra,Module 4,"Perform various tests to determine whether a given series is convergent, absolutely convergent or conditionally convergent","Is the series ∑ ((-1)^(n-1) / n) from n = 1 to ∞ convergent? Absolutely convergent? Conditionally convergent?"
S1,Linear Algebra,Module 5,"Determine the Taylor and Fourier series expansion of functions and learn their applications","Assuming the possibility of expansion, find the Maclaurin series of f(x) = (1 + x)^k for |x| < 1 where k is any real number. What happens if k is a positive integer?"
S1,Linear Algebra,Module 5,"Determine the Taylor and Fourier series expansion of functions and learn their applications","Use the Maclaurin series of ln(1 + x), −1 < x ≤ 1, to find an approximate value of ln(2)."
S1,Linear Algebra,Module 5,"Determine the Taylor and Fourier series expansion of functions and learn their applications","Find the Fourier series of the function f(x) = x^2, −2 ≤ x < 2, with f(x + 4) = f(x). Hence, using Parseval’s identity, prove that 1 + 1/2^4 + 1/3^4 + ... = π^4 / 90."
S1,Linear Algebra,Module 5,"Determine the Taylor and Fourier series expansion of functions and learn their applications","Expand the function f(x) = x (0 < x < 1/2) into (i) Fourier sine series (ii) Fourier cosine series."


S1,Engineering Physics,Module 1," oscillations and wave motion concepts","Explain the effect of damping force on oscillators."
S1,Engineering Physics,Module 1," oscillations and wave motion concepts","Distinguish between transverse and longitudinal waves."
S1,Engineering Physics,Module 1," oscillations and wave motion concepts","Derive an expression for the fundamental frequency of transverse vibration in a stretched string."
S1,Engineering Physics,Module 1," oscillations and wave motion concepts","Calculate the fundamental frequency of a string of length 2 m weighing 6 g kept stretched by a load of 600 kg."

S1,Engineering Physics,Module 2," interference and diffraction phenomena","Explain colours in thin films."
S1,Engineering Physics,Module 2," interference and diffraction phenomena","Distinguish between Fresnel and Fraunhofer diffraction."
S1,Engineering Physics,Module 2," interference and diffraction phenomena","Explain the formation of Newton’s rings and derive expressions for radii of bright and dark rings in reflected system. Also explain how it is used to determine wavelength of light."
S1,Engineering Physics,Module 2," interference and diffraction phenomena","A liquid of refractive index μ is introduced between lens and glass plate. What happens to the fringe system? Justify."

S1,Engineering Physics,Module 3," quantum mechanics fundamentals","Give the physical significance of wave function."
S1,Engineering Physics,Module 3," quantum mechanics fundamentals","What are excitons?"
S1,Engineering Physics,Module 3," quantum mechanics fundamentals","Solve Schrödinger equation for a particle in a one dimensional box and obtain energy eigen values and normalized wave functions."
S1,Engineering Physics,Module 3," quantum mechanics fundamentals","Calculate the first three energy values of an electron in a one dimensional box of width 1 Å in electron volts."

S1,Engineering Physics,Module 4," electromagnetic theory","Compare displacement current and conduction current."
S1,Engineering Physics,Module 4," electromagnetic theory","Mention any four properties of ferromagnetic materials."
S1,Engineering Physics,Module 4," electromagnetic theory","Starting from Maxwell’s equations, derive the free space electromagnetic wave equation and show that velocity of electromagnetic wave is 1/(μ₀ε₀)^(1/2)."
S1,Engineering Physics,Module 4," electromagnetic theory","An electromagnetic wave is described by E = 100 exp[8πi(10^14 t – (10^6 z / 3))] V/m. Find direction of propagation, speed, and magnetic flux density."

S1,Engineering Physics,Module 5," modern physics applications","Explain the working of a solar cell."
S1,Engineering Physics,Module 5," modern physics applications","Distinguish between Type I and Type II superconductors."
S1,Engineering Physics,Module 5," modern physics applications","Define numerical aperture and derive an expression for it."
S1,Engineering Physics,Module 5," modern physics applications","Explain the working of intensity modulated fibre optic sensor."


S1,Engineering Graphics,Module 1,"Draw the projection of points and lines located in different quadrants","Locate points in different quadrants as per given conditions."
S1,Engineering Graphics,Module 1,"Draw the projection of points and lines located in different quadrants","Solve problems on lines inclined to both planes."
S1,Engineering Graphics,Module 1,"Draw the projection of points and lines located in different quadrants","Find true length, inclinations and traces of lines."

S1,Engineering Graphics,Module 2,"Prepare multiview orthographic projections of objects by visualizing them in different positions","Draw orthographic views of solids and combination solids."
S1,Engineering Graphics,Module 2,"Prepare multiview orthographic projections of objects by visualizing them in different positions","Draw views of solids inclined to any one reference plane."
S1,Engineering Graphics,Module 2,"Prepare multiview orthographic projections of objects by visualizing them in different positions","Draw views of solids inclined to both reference planes."

S1,Engineering Graphics,Module 3,"Draw sectional views and develop surfaces of a given object","Draw views of solids sectioned by a cutting plane."
S1,Engineering Graphics,Module 3,"Draw sectional views and develop surfaces of a given object","Find location and inclination of cutting plane given true shape of the section."
S1,Engineering Graphics,Module 3,"Draw sectional views and develop surfaces of a given object","Draw development of lateral surface of solids and also its sectioned views."

S1,Engineering Graphics,Module 4,"Prepare pictorial drawings using the principles of isometric and perspective projections to visualize objects in three dimensions","Draw isometric views or projections of solids."
S1,Engineering Graphics,Module 4,"Prepare pictorial drawings using the principles of isometric and perspective projections to visualize objects in three dimensions","Draw isometric views or projections of combination of solids."
S1,Engineering Graphics,Module 4,"Prepare pictorial drawings using the principles of isometric and perspective projections to visualize objects in three dimensions","Draw perspective views of solids."

S1,Engineering Graphics,Module 5,"Convert 3D views to orthographic views","Draw orthographic views of solids from given three dimensional view."




S1,Life Skills,Module 1,"Define and identify different life skills required in personal and professional life","List life skills as identified by WHO."
S1,Life Skills,Module 1,"Define and identify different life skills required in personal and professional life","What do you mean by effective communication?"
