#module 1
S1,MAT101,If A and B are square matrices of the same order, then (A+B)^T equals?,A^T + B^T, A^T - B^T, AB, BA,A^T + B^T
S1,MAT101,Determinant of a triangular matrix is?,Product of diagonal entries,Sum of diagonal entries,Product of all elements,Sum of all elements,Product of diagonal entries
S1,MAT101,Inverse of a 2x2 matrix [[a,b],[c,d]] is?,(1/(ad-bc))*[[d,-b],[-c,a]], [[d,-b],[-c,a]], [[a,b],[c,d]], (1/(a+b+c+d))*[[d,-b],[-c,a]],(1/(ad-bc))*[[d,-b],[-c,a]]
S1,MAT101,If det(A) = 5, then det(3A) for 2x2 matrix?,45,15,30,50,45
S1,MAT101,Which of the following matrices is symmetric?,[[1,2],[2,3]], [[1,0],[2,3]], [[0,1],[0,0]], [[1,2],[3,4]],[[1,2],[2,3]]
S1,MAT101,A skew-symmetric matrix has?,A^T = -A, A^T = A, det(A)=0, All zero entries,A^T = -A
S1,MAT101,If adj(A) is the adjoint, then A*adj(A)=?,det(A)*I, A, I, 0,det(A)*I
S1,MAT101,Rank of a zero matrix is?,0,1,n,Depends on size,0
S1,MAT101,If det(A)=0, then matrix A is?,Singular,Non-singular,Orthogonal,Identity,Singular
S1,MAT101,Which operation is not defined for matrices?,Division,Addition,Subtraction,Multiplication,Division
S1,MAT101,For matrix [[1,2],[3,4]], det(A)=?, -2, 2, -1, 1,-2
S1,MAT101,Matrix A=[[1,2],[3,4]], adj(A)=?, [[4,-2],[-3,1]], [[4,3],[2,1]], [[1,2],[3,4]], [[0,0],[0,0]],[[4,-2],[-3,1]]
S1,MAT101,If rank(A)=n for an nxn matrix, A is?,Invertible,Singular,Symmetric,Skew-Symmetric,Invertible
S1,MAT101,Cramer’s rule solves?,System of linear equations,Determinant only,Matrix inversion,Eigenvalue problems,System of linear equations
S1,MAT101,Determinant of identity matrix is?,1,0,Depends on size,2,1
S1,MAT101,Transpose of a product AB is?,B^T A^T, A^T B^T, AB, BA,B^T A^T
S1,MAT101,If A is 3x3 and det(A)=7, then det(A^-1)=?,1/7, 7, -7, 0,1/7
S1,MAT101,Rank of a 3x3 identity matrix?,3,1,0,2,3
S1,MAT101,If two rows of a determinant are equal, det=?,0,1,Non-zero,Depends on elements,0
S1,MAT101,Eigenvalues of [[2,0],[0,3]] are?,2 and 3,0 and 0,1 and -1,2 and -2,2 and 3
